[TABLES]
## NEW_YORK_CITIBIKE.CITIBIKE_TRIPS
start_station_longitude: FLOAT | Start Station Longitude | eg=[-73.95928168, -74.01043382]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[4, 0]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[4]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["4", "0"]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[0]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[68.6, 51.2]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0", "1"]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["24.1", "7.8"]
mo: TEXT | The month | eg=["01", "06"]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999"]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[999.9]
year: TEXT | The year | eg=["1985"]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["A", "B"]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[999.9]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[84.9, 67.6]
da: TEXT | The day | eg=["12", "22"]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[91.4, 76.3]

## NOAA_GSOD.GSOD1959
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[0]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[48.0, 79.0]
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day. 
.00 indicates no measurable precipitation (includes a trace).
Missing = 99.99
Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[0.02, 0.28]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[999.9]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[4]
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["11.9", "1.0"]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[1009.9, 1004.7]
da: TEXT | The day | eg=["15", "19"]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["15.9", "1.9"]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999"]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[62.8, 84.5]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[0]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[75.0, 93.0]
mo: TEXT | The month | eg=["04", "08"]
year: TEXT | The year | eg=["1959"]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[999.9]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data.
* indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature)
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[999.9]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[31.2, 80.5]
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["548080", "548520"]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data.
* indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature)
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[4]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["A"]
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[4]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["4"]

## NOAA_GSOD.GSOD1983
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[9999.9, 47.2]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[37.2, 101.3]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[0, 4]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[8.2, 43.5]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["0", "4"]
mo: TEXT | The month | eg=["01", "11"]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["A"]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["999.9", "9.9"]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0", "1"]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999"]
da: TEXT | The day | eg=["26", "17"]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["1", "0"]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[33.5, 86.3]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data.
* indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature)
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["409680", "680240"]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["999.9", "6.2"]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data.
* indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature)
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[4]
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[0]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[4]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[999.9]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[0.4, 999.9]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[0]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[29.3, 65.3]
year: TEXT | The year | eg=["1983"]
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day. 
.00 indicates no measurable precipitation (includes a trace).
Missing = 99.99
Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[99.99, 0.0]

## NOAA_GSOD.GSOD2019
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["0", "4"]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[999.9]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
year: TEXT | The year | eg=["2019"]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999"]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[999.9]
stn: TEXT | Cloud - GSOD NOAA | eg=["010350", "010430"]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["999.9", "25.3"]
mo: TEXT | The month | eg=["01", "11"]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[0]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[0]
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[0]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[4]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount B = Summation of 2 reports of 6-hour precipitation amount C = Summation of 3 reports of 6-hour precipitation amount D = Summation of 4 reports of 6-hour precipitation amount E = 1 report of 12-hour precipitation amount F = Summation of 2 reports of 12-hour precipitation amount G = 1 report of 24-hour precipitation amount H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day. I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["I"]
da: TEXT | The day | eg=["24", "28"]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data. * indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature) | eg=["*"]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[999.9]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[9999.9]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[3.0, 20.3]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data. * indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature) | eg=["*"]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["999.9", "20.4"]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9 Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[999.9]
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[0]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[16.3, 25.0]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[9.2, 22.7]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day.  .00 indicates no measurable precipitation (includes a trace). Missing = 99.99 Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[0.0]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]

## NOAA_GSOD.GSOD1938
da: TEXT | The day | eg=["05", "15"]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[45.0, 48.9]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day. 
.00 indicates no measurable precipitation (includes a trace).
Missing = 99.99
Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[99.99]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[39.0, 43.0]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data.
* indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature)
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999"]
mo: TEXT | The month | eg=["12", "01"]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["031850", "032080"]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["4"]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[999.9]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["13.0", "36.9"]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[999.9]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[4]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[0]
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[4]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data.
* indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature)
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["12.0", "30.4"]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[33.8, 41.0]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["1"]
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
year: TEXT | The year | eg=["1938"]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[4]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[10.9, 6.2]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[42.0, 46.0]
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[0]

## NOAA_GSOD.GSOD1991
year: TEXT | The year | eg=["1991"]
da: TEXT | The day | eg=["04", "24"]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0", "1"]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["14.0", "15.0"]
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["8.4", "10.8"]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[925.8, 979.8]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[1012.4, 1015.2]
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[24]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0", "1"]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data.
* indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature)
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[24]
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[24]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[14.9, 18.3]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[46.9, 30.9]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[24]
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["99999", "14777"]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[23.0, 26.1]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[21.0, 31.1]
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day. 
.00 indicates no measurable precipitation (includes a trace).
Missing = 99.99
Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[0.0]
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["711230", "725130"]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[22.2, 14.7]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[3.9, 2.0]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["24"]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[24]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[31.8, 28.7]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["D"]
mo: TEXT | The month | eg=["02", "01"]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data.
* indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature) | eg=["*"]
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]

## NOAA_GSOD.GSOD1935
wban: TEXT | WBAN number where applicable--this is the historical "Weather Bureau Air Force Navy" number - with WBAN being the acronym | eg=["13821"]
count_slp: NUMBER | Number of observations used in calculating mean sea level pressure | eg=[0]
dewp: FLOAT | Mean dew point for the day in degreesm Fahrenheit to tenths.  Missing = 9999.9 | eg=[27.9, 36.9]
flag_prcp: TEXT | A = 1 report of 6-hour precipitation amount
B = Summation of 2 reports of 6-hour precipitation amount
C = Summation of 3 reports of 6-hour precipitation amount
D = Summation of 4 reports of 6-hour precipitation amount
E = 1 report of 12-hour precipitation amount
F = Summation of 2 reports of 12-hour precipitation amount
G = 1 report of 24-hour precipitation amount
H = Station reported '0' as the amount for the day (eg, from 6-hour reports), but also reported at least one occurrence of precipitation in hourly observations--this could indicate a trace occurred, but should be considered as incomplete data for the day.
I = Station did not report any precip data for the day and did not report any occurrences of precipitation in its hourly observations--it's still possible that precip occurred but was not reported | eg=["I"]
prcp: FLOAT | Total precipitation (rain and/or melted snow) reported during the day in inches and hundredths; will usually not end with the midnight observation--i.e., may include latter part of previous day. 
.00 indicates no measurable precipitation (includes a trace).
Missing = 99.99
Note: Many stations do not report '0' on days with no precipitation--therefore, '99.99' will often appear on these days. Also, for example, a station may only report a 6-hour amount for the period during which rain fell. See Flag field for source of data | eg=[0.0]
da: TEXT | The day | eg=["25", "29"]
mo: TEXT | The month | eg=["12", "10"]
count_wdsp: TEXT | Number of observations used in calculating mean wind speed | eg=["11", "12"]
year: TEXT | The year | eg=["1935"]
stp: FLOAT | Mean station pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
visib: FLOAT | Mean visibility for the day in miles to tenths.  Missing = 999.9 | eg=[4.2, 5.0]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
Note: Most stations do not report '0' ondays with no snow on the ground--therefore, '999.9' will often appear on these days | eg=[999.9]
max: FLOAT | Maximum temperature reported during the day in Fahrenheit to tenths--time of max temp report varies by country and region, so this will sometimes not be the max for the calendar day. Missing = 9999.9 | eg=[48.9, 43.0]
flag_min: TEXT | Blank indicates min temp was taken from the explicit min temp report and not from the 'hourly' data.
* indicates min temp was derived from the hourly data (i.e., lowest hourly or synoptic-reported temperature) | eg=["*"]
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["722265"]
rain_drizzle: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
tornado_funnel_cloud: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
slp: FLOAT | Mean sea level pressure for the day in millibars to tenths. Missing = 9999.9 | eg=[9999.9]
count_temp: NUMBER | Number of observations used in calculating mean temperature | eg=[11, 12]
thunder: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
hail: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
temp: FLOAT | Mean temperature for the day in degrees Fahrenheit to tenths. Missing = 9999.9 | eg=[38.7, 38.4]
wdsp: TEXT | Mean wind speed for the day in knots to tenths. Missing = 999.9 | eg=["2.4", "9.4"]
count_stp: NUMBER | Number of observations used in calculating mean station pressure | eg=[0]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
count_dewp: NUMBER | Number of observations used in calculating mean dew point | eg=[11, 12]
snow_ice_pellets: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
min: FLOAT | Minimum temperature reported during the day in Fahrenheit to tenths--time of min temp report varies by country and region, so this will sometimes not be the min for the calendar day. Missing = 9999.9 | eg=[25.0, 34.0]
mxpsd: TEXT | Maximum sustained wind speed reported for the day in knots to tenths. Missing = 999.9 | eg=["4.1", "15.9"]
flag_max: TEXT | Blank indicates max temp was taken from the explicit max temp report and not from the 'hourly' data.
* indicates max temp was  derived from the hourly data (i.e., highest hourly or synoptic-reported temperature) | eg=["*"]
count_visib: NUMBER | Number of observations used in calculating mean visibility | eg=[11, 12]
gust: FLOAT | Maximum wind gust reported for the day in knots to tenths. Missing = 999.9 | eg=[999.9]

## NOAA_GSOD.GSOD2004
stn: TEXT | Station number (WMO/DATSAV3 number) for the location | eg=["992580", "994200"]
fog: TEXT | Indicators (1 = yes, 0 = no/not reported) for the occurrence during the day | eg=["0"]
da: TEXT | The day | eg=["31", "15"]
sndp: FLOAT | Snow depth in inches to tenths--last report for the day if reported more thanonce. Missing = 999.9
